Frame,L_Shoulder_x,L_Shoulder_y,L_Elbow_x,L_Elbow_y,L_Wrist_x,L_Wrist_y,R_Shoulder_x,R_Shoulder_y,R_Elbow_x,R_Elbow_y,R_Wrist_x,R_Wrist_y
Frame7165,0.1142444834113121,0.4611770510673523,0.11923114955425262,0.41218477487564087,0.12588222324848175,0.4044472575187683,0.09084944427013397,0.4535752534866333,0.09247304499149323,0.40655261278152466,0.11338181793689728,0.41334420442581177
Frame7170,0.412345826625824,0.4147752523422241,0.4244191646575928,0.34406352043151855,0.4342406690120697,0.3342590928077698,0.3654746115207672,0.4000331163406372,0.3595731854438782,0.2975742816925049,0.40340909361839294,0.3086255192756653
Frame7175,0.8809388875961304,0.23658400774002075,0.900905966758728,0.14558547735214233,0.9163605570793152,0.11040806770324707,0.8038480877876282,0.20773059129714966,0.7800465226173401,0.06212735176086426,0.8644905090332031,0.05288243293762207
Frame7715,0.037723369896411896,0.4362669587135315,0.05117207020521164,0.392026424407959,0.058101244270801544,0.3559107780456543,0.02340635098516941,0.4316784739494324,0.021567827090620995,0.38259774446487427,0.02389277145266533,0.3576486110687256
Frame7720,0.15472359955310822,0.43700820207595825,0.1698819100856781,0.3778963088989258,0.0,1.0,0.14207974076271057,0.4232150912284851,0.16617122292518616,0.37008875608444214,0.1646607369184494,0.42960304021835327
Frame7725,0.2584446966648102,0.4420531392097473,0.2682889401912689,0.3964601755142212,0.25960007309913635,0.43227726221084595,0.26916682720184326,0.43694519996643066,0.2748851776123047,0.3939465284347534,0.2632935345172882,0.42866402864456177
Frame7730,0.43118590116500854,0.4201294779777527,0.4230901598930359,0.34852367639541626,0.0,1.0,0.3948012590408325,0.4021502733230591,0.40060144662857056,0.3270023465156555,0.3776506781578064,0.38989025354385376
Frame7735,0.5161226987838745,0.39798349142074585,0.5184565782546997,0.30450576543807983,0.5129611492156982,0.22351700067520142,0.4577646255493164,0.4104439616203308,0.44799280166625977,0.32647496461868286,0.4399125576019287,0.25835680961608887
Frame7740,0.5518452525138855,0.3609989285469055,0.549128532409668,0.2720586657524109,0.5546313524246216,0.2047984004020691,0.4990846514701843,0.35542768239974976,0.4848763346672058,0.25772446393966675,0.4915878176689148,0.16682451963424683
Frame7745,0.6784313321113586,0.3345315456390381,0.6796776652336121,0.22975850105285645,0.6890691518783569,0.15469640493392944,0.6292123794555664,0.31960397958755493,0.6145983338356018,0.2131655216217041,0.6065075397491455,0.11263471841812134
Frame7750,0.7774072289466858,0.3538358211517334,0.794714093208313,0.2825778126716614,0.6891701817512512,0.4366198778152466,0.7342780232429504,0.376007616519928,0.6961962580680847,0.3854408264160156,0.6846137046813965,0.4350418448448181
Frame7755,0.7986963987350464,0.34030234813690186,0.8052884936332703,0.24707967042922974,0.8042252659797668,0.15950685739517212,0.7396814227104187,0.37981611490249634,0.701210081577301,0.3619489073753357,0.7159918546676636,0.41029125452041626
Frame7760,0.024522891268134117,0.4602885842323303,0.026700010523200035,0.40652501583099365,0.03175773471593857,0.36584222316741943,0.021784674376249313,0.4603758454322815,0.024560071527957916,0.4083230495452881,0.027510076761245728,0.36670058965682983
Frame7765,0.11741523444652557,0.45056718587875366,0.1313166320323944,0.38842833042144775,0.1496746987104416,0.34424787759780884,0.08692064881324768,0.4359138607978821,0.08718232810497284,0.3613486886024475,0.09806989133358002,0.3114960789680481
